## sk_restricted_DOCUMENT
| shape | base | r1 616c766a5 | head 9ba0caf78 | head under G-REV |
| `ty:' '` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:TAB+SSD` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:SSD+ZWSP` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:<SSD id>` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:<SSD id>` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:<DOCUMENT id>` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=dt-seed-8/dt-seed-8 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `key DocumentType:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `key document_type:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `key Type:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `dup dt SSD then DOC (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
| `dup dt DOC then SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `dup ty DOC then SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `escaped key document\u0054ype:SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `escaped key typ\u0065:SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `__proto__.type:SSD (raw)` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `legacy ty:DOC data.documentType:PROPERTY_DEED` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/PROPERTY_DEED | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/PROPERTY_DEED | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/PROPERTY_DEED |
| `legacy untyped data.documentType:DEGREE` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE |
| `dt:DOC data.documentType:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/SSD_DOCUMENT |
| `ty:DOC metadata.documentType:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
head == merged for this principal: True
## sk_restricted_SSD
| shape | base | r1 616c766a5 | head 9ba0caf78 | head under G-REV |
| `untyped` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `dt:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `ty:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `dt:DOC` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:DOC` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:PROPERTY_DEED` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:PROPERTY_DEED` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=PROPERTY_DEED | 201 e1 w1 f1 gw=PROPERTY_DEED orig=PROPERTY_DEED/PROPERTY_DEED | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:REFERENCE(standard)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=None | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:QA_NONE_APPROVAL` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=QA_NONE_APPROVAL | 201 e1 w1 f0 gw=QA_NONE_APPROVAL | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:QA_UNREGISTERED` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `both dt:DOC ty:SSD` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
| `both ty:SSD dt:DOC (key order)` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
| `both dt:SSD ty:DOC` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 403 FORBIDDEN e0 w0 f0 |
| `both ty:DOC dt:SSD (key order)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 403 FORBIDDEN e0 w0 f0 |
| `both dt:DOC ty:DOC` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:'' ty:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `dt:'' ty:DOC` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:''` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `ty:''` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `dt:null ty:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None |
| `dt:false ty:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None |
| `dt:0 ty:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=None/None |
| `dt:true ty:SSD` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 400 VALIDATION_ERROR e1 w0 f0 gw=None |
| `dt:123 ty:DOC` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:123` | 400 VALIDATION_ERROR e1 w0 f0 gw=None | 400 VALIDATION_ERROR e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:['DOCUMENT']` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:['DOCUMENT']` | 400 VALIDATION_ERROR e1 w0 f0 gw=None | 400 VALIDATION_ERROR e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:['SSD_DOCUMENT']` | 400 VALIDATION_ERROR e1 w0 f0 gw=None | 400 VALIDATION_ERROR e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:{} ty:DOC` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:ssd_document` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=ssd_document/ssd_document | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:document` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=document/document | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:document` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:Ssd_Document` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=Ssd_Document/Ssd_Document | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:' SSD_DOCUMENT'` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:'SSD_DOCUMENT '` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:'DOCUMENT '` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:' '` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:TAB+SSD` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:SSD+ZWSP` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:<SSD id>` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=dt-seed-7/dt-seed-7 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dt:<SSD id>` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:<DOCUMENT id>` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=dt-seed-8/dt-seed-8 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `key DocumentType:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `key document_type:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `key Type:SSD` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `dup dt SSD then DOC (raw)` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `dup dt DOC then SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `dup ty DOC then SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `escaped key document\u0054ype:SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `escaped key typ\u0065:SSD (raw)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `__proto__.type:SSD (raw)` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `legacy ty:DOC data.documentType:PROPERTY_DEED` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/PROPERTY_DEED | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `legacy untyped data.documentType:DEGREE` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE | 201 e1 w1 f1 gw=None orig=DOCUMENT/DEGREE |
| `dt:DOC data.documentType:SSD` | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
| `ty:DOC metadata.documentType:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 403 FORBIDDEN e0 w0 f0 | 403 FORBIDDEN e0 w0 f0 |
head == merged for this principal: True
## sk_write_unrestricted
| shape | base | r1 616c766a5 | head 9ba0caf78 | head under G-REV |
| `untyped` | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=None orig=DOCUMENT/DOCUMENT |
| `dt:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `ty:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT | 201 e1 w1 f1 gw=SSD_DOCUMENT orig=SSD_DOCUMENT/SSD_DOCUMENT |
| `dt:DOC` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
| `ty:DOC` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
| `dt:PROPERTY_DEED` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=PROPERTY_DEED | 201 e1 w1 f1 gw=PROPERTY_DEED orig=PROPERTY_DEED/PROPERTY_DEED | 201 e1 w1 f1 gw=PROPERTY_DEED orig=PROPERTY_DEED/PROPERTY_DEED | 201 e1 w1 f1 gw=PROPERTY_DEED orig=PROPERTY_DEED/PROPERTY_DEED |
| `ty:PROPERTY_DEED` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=PROPERTY_DEED | 201 e1 w1 f1 gw=PROPERTY_DEED orig=PROPERTY_DEED/PROPERTY_DEED | 201 e1 w1 f1 gw=PROPERTY_DEED orig=PROPERTY_DEED/PROPERTY_DEED | 201 e1 w1 f1 gw=PROPERTY_DEED orig=PROPERTY_DEED/PROPERTY_DEED |
| `ty:REFERENCE(standard)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=None | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=None | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=None | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=None |
| `ty:QA_NONE_APPROVAL` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=QA_NONE_APPROVAL | 201 e1 w1 f0 gw=QA_NONE_APPROVAL | 201 e1 w1 f0 gw=QA_NONE_APPROVAL | 201 e1 w1 f0 gw=QA_NONE_APPROVAL |
| `ty:QA_UNREGISTERED` | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None | 400 UNKNOWN_DOCUMENT_TYPE e1 w0 f0 gw=None |
| `both dt:DOC ty:SSD` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
| `both ty:SSD dt:DOC (key order)` | 403 INSUFFICIENT_VERIFICATION_LEVEL e1 w0 f0 gw=DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT | 201 e1 w1 f1 gw=DOCUMENT orig=DOCUMENT/DOCUMENT |
